seq,robot_id,timestamp_ns,publish_time_ns,publish_dt_ms,x,y,yaw_rad,yaw_deg,v_linear,v_angular
190,go2_001,1445285000000,1776178067666551366,49.996,0.112199,-0.167232,1.039651,59.567627,-0.000000,-0.006137
191,go2_001,1445325000000,1776178067716547236,49.996,0.112199,-0.167232,1.039441,59.555603,-0.000000,-0.015823
192,go2_001,1445385000000,1776178067766506677,49.959,0.112199,-0.167232,1.039704,59.570636,-0.000000,0.001691
193,go2_001,1445425000000,1776178067816552693,50.046,0.112199,-0.167232,1.039899,59.581810,-0.000000,0.001825
194,go2_001,1445485000000,1776178067866803606,50.251,0.112199,-0.167232,1.039562,59.562515,-0.000000,-0.009354
195,go2_001,1445525000000,1776178067916556908,49.753,0.112199,-0.167232,1.038842,59.521236,-0.000000,-0.027227
196,go2_001,1445565000000,1776178067966567467,50.011,0.112199,-0.167232,1.038904,59.524788,-0.000000,-0.004660
197,go2_001,1445625000000,1776178068016573213,50.006,0.112199,-0.167232,1.039020,59.531470,-0.000000,-0.011872
198,go2_001,1445685000000,1776178068066523171,49.950,0.112199,-0.167232,1.039848,59.578887,-0.000000,0.002701
199,go2_001,1445725000000,1776178068116557832,50.035,0.112199,-0.167232,1.039978,59.586332,-0.000000,-0.002373
200,go2_001,1445765000000,1776178068166581837,50.024,0.112199,-0.167232,1.040098,59.593224,-0.000000,0.000407
201,go2_001,1445825000000,1776178068216627547,50.046,0.112199,-0.167232,1.039789,59.575524,-0.000000,-0.004395
202,go2_001,1445865000000,1776178068266607304,49.980,0.112199,-0.167232,1.039481,59.557863,-0.000000,-0.012295
203,go2_001,1445925000000,1776178068316556902,49.950,0.112199,-0.167232,1.039916,59.582784,-0.000000,0.012400
204,go2_001,1445985000000,1776178068366537750,49.981,0.112199,-0.167232,1.039179,59.540593,-0.000000,-0.023143
205,go2_001,1446025000000,1776178068416564826,50.027,0.112195,-0.167250,1.039105,59.536334,-0.000044,-0.020226
206,go2_001,1446065000000,1776178068466575068,50.010,0.112195,-0.167250,1.039294,59.547139,-0.000041,-0.007853
207,go2_001,1446125000000,1776178068516585562,50.010,0.112195,-0.167250,1.039332,59.549330,-0.000036,-0.001300
208,go2_001,1446165000000,1776178068566595157,50.010,0.112195,-0.167251,1.038907,59.524966,-0.000033,-0.010707
209,go2_001,1446225000000,1776178068616519368,49.924,0.112195,-0.167251,1.038937,59.526716,-0.000029,-0.014154
210,go2_001,1446285000000,1776178068666552179,50.033,0.112195,-0.167251,1.039252,59.544765,-0.000025,-0.010783
211,go2_001,1446325000000,1776178068716567471,50.015,0.112195,-0.167251,1.039448,59.555980,-0.000023,-0.003226
212,go2_001,1446385000000,1776178068766577112,50.010,0.112195,-0.167251,1.039197,59.541575,-0.000020,-0.014892
213,go2_001,1446425000000,1776178068816545184,49.968,0.112195,-0.167251,1.039176,59.540405,-0.000019,-0.007623
214,go2_001,1446465000000,1776178068866547148,50.002,0.112195,-0.167251,1.039323,59.548812,-0.000017,-0.002250
215,go2_001,1446525000000,1776178068916529566,49.982,0.112195,-0.167251,1.039522,59.560228,-0.000015,-0.011996
216,go2_001,1446565000000,1776178068966572164,50.043,0.112195,-0.167251,1.039827,59.577724,-0.000013,-0.000196
217,go2_001,1446625000000,1776178069016591215,50.019,0.112195,-0.167251,1.039211,59.542379,-0.000012,-0.019180
218,go2_001,1446685000000,1776178069066488086,49.897,0.112195,-0.167251,1.039066,59.534091,-0.000010,-0.016386
219,go2_001,1446725000000,1776178069116551825,50.064,0.112195,-0.167251,1.039268,59.545682,-0.000009,-0.006003
220,go2_001,1446765000000,1776178069166574772,50.023,0.112195,-0.167251,1.038955,59.527719,-0.000008,-0.017381
221,go2_001,1446825000000,1776178069216552537,49.978,0.112195,-0.167251,1.039002,59.530419,-0.000007,-0.004551
222,go2_001,1446865000000,1776178069266545629,49.993,0.112195,-0.167251,1.039244,59.544309,-0.000006,-0.000945
223,go2_001,1446925000000,1776178069316546880,50.001,0.112195,-0.167251,1.039139,59.538300,-0.000005,-0.011056
224,go2_001,1446985000000,1776178069366465106,49.918,0.112195,-0.167251,1.039175,59.540362,-0.000005,-0.008099
225,go2_001,1447025000000,1776178069416575720,50.111,0.112195,-0.167251,1.039081,59.534972,-0.000004,-0.005368
226,go2_001,1447065000000,1776178069466847068,50.271,0.112195,-0.167251,1.039162,59.539587,-0.000004,-0.001773
227,go2_001,1447125000000,1776178069516561107,49.714,0.112195,-0.167251,1.038926,59.526066,-0.000003,-0.015197
228,go2_001,1447165000000,1776178069566617933,50.057,0.112195,-0.167251,1.039286,59.546680,-0.000003,0.000078
229,go2_001,1447225000000,1776178069616561480,49.944,0.112195,-0.167251,1.039066,59.534108,-0.000002,-0.020544
230,go2_001,1447265000000,1776178069666578007,50.017,0.112195,-0.167251,1.039340,59.549807,-0.000002,-0.003729
231,go2_001,1447325000000,1776178069716564169,49.986,0.112195,-0.167251,1.039071,59.534388,-0.000002,0.000450
232,go2_001,1447385000000,1776178069766620208,50.056,0.112195,-0.167251,1.039396,59.552992,-0.000001,0.007583
233,go2_001,1447425000000,1776178069816590168,49.970,0.112195,-0.167251,1.039639,59.566926,-0.000001,0.007940
234,go2_001,1447465000000,1776178069866544380,49.954,0.112195,-0.167251,1.039268,59.545679,-0.000001,-0.011143
235,go2_001,1447525000000,1776178069916543183,49.999,0.112195,-0.167251,1.038992,59.529859,-0.000001,-0.003755
236,go2_001,1447585000000,1776178069966567549,50.024,0.112195,-0.167251,1.038782,59.517832,-0.000000,-0.006555
237,go2_001,1447625000000,1776178070016576553,50.009,0.112195,-0.167251,1.038987,59.529579,-0.000000,-0.005846
